author,comment,likes,published_at
@DiasLoka-f8s,"Ada Bpk Negara , iBu Negara gak jls exstrems , wajar kalo Di Lengserkan / diMakzuLkan Memimpin diri Gak becus ,Negara ini Besar & Kompleks Masalh ...! 😮",0,2026-05-07T04:25:29Z
@cicihharyati3015,"Menurut pendapat saya pribadi negara ini adalah hanya :
"" MaL praktek sistem politik"".",0,2026-05-07T03:09:01Z
@B2BMANAGER,Kalo emang merasa pali baik  silakan nyalon presiden yg akan datang siapa yg terbaik pasti di pilih rakyatnya kalo kaĺah berarti itù kurang baik calon nya gitu aja ngapain pusing pusing kalo baik juga di pilih rakyat,0,2026-05-06T18:14:38Z
@B2BMANAGER,Di atas lagi pada ribut beginilah begitulah apa yg di ributin karna kami sebagai rakyat kecil adem adem aja ko,0,2026-05-06T18:03:56Z
@B2BMANAGER,Au ah pla gua liatnya pusingngaku orang pinter tapi ribuuut mulu bkn nya pada kerja buat negara malah main jelek jelekin kalo begini trs siapapun yg jadi presiden g bklan bener ini negara kita harus mendukung buat negara bkn jelekin sini jelekin situ tapi ngakunya orang pd pinter kami pusing sebagai rakyat kalo begini trs,0,2026-05-06T17:57:30Z
@AgungGondrong0,"Sehat wal 'afiat selalu untuk Pak prof Mahfud MD...
Aamiin...Ya Robbal 'Alamiin...",0,2026-05-06T15:54:54Z
@AlexanderHD-dz6lv,SUDAH SAAT NYA PRABOWO DI LENGSERKAN ...JANGAN NUNGGU INDONESIA MAKIN TERPURUK. PRABOWO GAK MAMPU PIMPIN INDONESIA. TINGGAL RAKYAT SIAP LENGSERKAN ATAU TIDAK.,0,2026-05-06T12:43:36Z
@IntanrettobRettob,"Setuju,mundur saja.karena lebih banyak janji bohong saat kompanye dari fakta.
ASN dan Pensiunan hidup susah diera kepemimpinan Prabowo.Dimedsos kebohongan menjamur dan dibiarkan .",0,2026-05-05T13:39:17Z
@DjamaluddinMaknun,Saya suka penjelasan pak prof Mahfud,1,2026-05-05T12:28:57Z
@000ms,"Mahfud ko jadi lembek, jelas2 ada yg mengajak utk menggulingkan Presiden dan memakjulkan Gibran yg inkonstisiomal jelas makar. Segera saja ditindak termasuk yg membelanya.",0,2026-05-05T08:13:38Z
@WarjiatiPsw-gn1li,Sehat selalu pak prof Mahfud. Sangat senang mendengarkan perbincangan bpk.,0,2026-05-05T07:27:41Z
@ariganteng3096,Enak to zaman Suharto sembako murah cari kerjaan gampang... Duit 100 perak berharga bgt...,0,2026-05-04T17:28:46Z
@ariganteng3096,"Klau seandainya pak prabowo mundur dgn di demo kaya pak harto, terus wakilnya naik ini lebih bahaya... Pantasan pak probowo ngotot jd presiden sdh jd ko di kritik emosi... Kacau kacau... Ngeri sy 98 terulang lg... 😢😢😢",0,2026-05-04T17:26:02Z
@AzrelMaulana-d3d,Prabowo sapa Indonesian kanca pacull duwit,0,2026-05-04T17:22:48Z
@MJuwaeni-c7r,Semoga. Podcast ini. Masyarakat/warga negara. Menjadi. Cerdas. Dan. Membangun. Kesadaran. Hak. dan. Kewajiban. Dlm. Berbangsa. Dan. Bernegsrsy. ❤❤❤❤❤❤❤❤❤😂❤❤❤❤😅,0,2026-05-04T14:15:41Z
@daffqyrintama7983,Selalu bersuara prof..katakan yg bener itu benar walaupun itu pahit..,0,2026-05-04T13:52:21Z
@Firmanaliando-n6k,LANJUT PAK MAHFUD 👍👍👍👍👍👍👍👍👍👍,0,2026-05-04T13:25:14Z
@RealmeCy-ft1gi,tolong P.mahfud.satukan orang yg punya niat mulia di negri ini untuk menyelamat kan bangsaini  negara sekaya ini.masih puluhan juta rakyat menderita dlm bertahan hidup.....,0,2026-05-04T07:44:48Z
@M.soekarno,Belum ada kemajuan bagi rakyat kecil MBG sebaiknya dihentikan  sebaiknya pendidikan dari TK s/d SMA DIGRATISKAN,0,2026-05-04T01:09:31Z
@Muhodil,Prabowo kalao ngga bisa Brantas korupsi lebih baik mundur dan progamnya nggak jelas,0,2026-05-03T22:12:20Z
@sunariyadinardi1929,"Jokowi & Prabowo , president paling buruk di Indonesia",0,2026-05-03T14:40:47Z
@heriadi8179,Prabowo sama aja jalan di tempat memang udah kadaluarsa dan udah tua amin,0,2026-05-03T14:01:00Z
@eryzaini,"Ayo beli buku Bpk Prabowo ,,,uuhhh sangat bagus ..",0,2026-05-03T13:54:03Z
@eryzaini,"Betul pak Mahfud dan tokoh 2 yg bersuara demi NKRI ,semangat terus Pak Mahfud ,wakili suara hati rakyat Indonesia...agar Indonesia rakyat nya sejahtera. ❤❤❤",0,2026-05-03T13:47:41Z
@MuhadiSokaraja,Kuliah yang bagus bagus bagi rakyat ind yang ingin maju.,0,2026-05-03T13:42:54Z
@tomasguntur6673,"😀😀😀, Panglima Madura Bapak Profesor Mah fud MD memang cerdas paham dengan Hukum ini... Bukan kaleng kaleng ini... saya Dukung Ful...maju terus Bapak Profesor Mah fud MD penjelasan yang baik... Salam Waras...🇲🇨.",0,2026-05-03T06:53:07Z
@NaninSugianNoor,Madura mau minta jabatan,0,2026-05-03T03:37:32Z
@Ihsansarif-w1y8h,"Mahfud MD jangan macem2 kalo berbicara, karna kamu bagian perkalahan apa kamu tidak malu",0,2026-05-02T18:38:25Z
@NarzoNarzo-t4r,"Kalau melihat kepemimpinan BPK Prabowo saat ini, saya menjadi ragu bahwa buku yang berjudul Paradok Indonesia merupakan buah pikirannya.",0,2026-05-02T08:47:41Z
@Qzj83c7efrF,"Semua ini harus di perbaiki total,sedih kita liatnya tak berdaya di Negara Sendiri,",0,2026-05-01T18:12:09Z
@darmonojawa,"Pokonya negara ini hancur sehancur2nya kalo di pimpin prabowo gelombang ke dua, apakah kira2 besok mau di pimpin prabowo lgih yah",0,2026-04-30T18:46:04Z
@HmArun-y1e,"Pak Mahfud MD seperti lepas ajing terjepit,",0,2026-04-30T14:39:29Z
@HLRidwan,"Alhamdulillah pak mahpud md, satu2nya sosok yg sangat integritas tinggi dan bersih jadi apa yg di sampaikan terhadap prabowo adalah benar jadi pesan yg di sampaikan adalah pesan konstitusi dan prinsip saya setuju apa yg di pesan oleh beliau ❤❤❤",0,2026-04-30T05:13:12Z
@narsokinco,hanya rakyat yang bisa  mengtikan program si pikun😅😅😅😅😅,0,2026-04-29T10:13:55Z
@Sariono105,"Jgn"" memperbaiki negara ini SGT berat di karenakan pemimpin masa lalu ..dan maunya pak Prabowo memperbaiki lalu menuju PD kesejahteraan rakyat di masa DPN ..",0,2026-04-29T09:21:52Z
@Sariono105,"tujuan pak Prabowo buat negara ini SGT mulia pak Mahfud ...tp knp kok mlh ekonomi susah ,,di mana letak slhnya dlm kepemimpinan pak Prabowo ..",0,2026-04-29T09:12:47Z
@Sariono105,"slhnya di mana pak Mahfud tolong kasih tau pak Prabowo lah pak ....karena ini fakta bahwa rakyat di bawah ini setengah mati ,,daya beli SGT menurun sekali ,,jauh beda dgn 3 THN yg lalu ..susah cari uang semua orang mengeluh ,,,lalu slhnya pak Prabowo di mana mohon di ingatkan ...susah sekali pak di Papua  sekarang ,,,buka warung sepi buka kios sepi jualan perempuan sepi ...dulu SGT lancar ,,apa slhnya sekarang ,,dan jgn smpai rakyat ini senjang pak bahaya kita di Papua  ini",0,2026-04-29T09:08:04Z
@BejoSiswanto-h9i,"Menurut pendapatku !
"" DEMOKRASI "" 
- dari rakyat.
- oleh rakyat.
- untuk rakyat.",0,2026-04-29T01:08:53Z
@supriyanto2384,Udah gak bisa dibenerin dan gak bisa dengar juga,0,2026-04-29T00:38:33Z
